id,title,url
1,"How to Paint Water in Watercolor - A Step-by-Step Tutorial",https://youtube.com/watch?v=ex2b2bpkaio&list=WL&index=1&pp=gAQBiAQB
2,"Pack Like a Hobo! [ 1930s Minimalist Travel Tips! ]",https://youtube.com/watch?v=Bq-Ym8qq7AE&list=WL&index=2&pp=gAQBiAQB
3,"Centering Clay For Beginners - 11 Problems - 11 Easy To Follow Solutions",https://youtube.com/watch?v=GKS5GIb2j84&list=WL&index=3&pp=gAQBiAQB
4,"Watercolor Painting Tutorial | From Beginner To Pro in Just One Video | My First Voiceover Video😎",https://youtube.com/watch?v=zMoUddn667c&list=WL&index=4&pp=gAQBiAQB
5,"Final Cut Pro Organization - Libraries, Events, Projects EXPLAINED",https://youtube.com/watch?v=Yjfbl-wbAnk&list=WL&index=5&pp=gAQBiAQB
6,"How To Animate Like Johnny Harris (After Effects Tutorial)",https://youtube.com/watch?v=LZ06jc6RSu8&list=WL&index=6&pp=gAQBiAQB
7,"AI Video Cropping: Auto-Gravity for Objects - Cloudinary Product Update",https://youtube.com/watch?v=pSgnS4ZEFlo&list=WL&index=7&pp=gAQBiAQB
8,"Watercolor Painting Tutorial for Beginners step by step 2021",https://youtube.com/watch?v=YIE9UYNR6yo&list=WL&index=8&pp=gAQBiAQB
9,"How I Paint Small Landscape Paintings Step by Step",https://youtube.com/watch?v=CyCWh36xXSg&list=WL&index=9&t=181s&pp=gAQBiAQB
10,"Day in the life of a Fashion Photographer in NYC",https://youtube.com/watch?v=Kw1v4XzYVN8&list=WL&index=10&pp=gAQBiAQB
11,"8 Tips for working with ALCOHOL INKS THAT YOU NEED TO KNOW",https://youtube.com/watch?v=HIxKNwHE714&list=WL&index=11&pp=gAQBiAQB
12,"Ink Line over Wash Watercolor Landscape. Quick. Simple. Satisfying. Walnut Ink & Fountain Pen.",https://youtube.com/watch?v=0F5Zv3wpckk&list=WL&index=12&pp=gAQBiAQB
13,"Painting Figures in Watercolor ~ Figure drawing tutorial for beginners 2021",https://youtube.com/watch?v=VEwDVkXNI4k&list=WL&index=13&pp=gAQBiAQB
14,"5 Japanese Philosophies to Improve Your Photography.",https://youtube.com/watch?v=7JyaQGzFsvw&list=WL&index=14&pp=gAQBiAQB
15,"How Koreans Meal Prep",https://youtube.com/watch?v=8eytu2_MVl8&list=WL&index=15&pp=gAQBiAQB
16,"How To Animate Infographics Like VOX (After Effects Tutorial)",https://youtube.com/watch?v=nHh0NRo8G2U&list=WL&index=16&pp=gAQBiAQB
17,"10 Quick After Effects Techniques I LOVE",https://youtube.com/watch?v=B2tmgJ0HKxo&list=WL&index=17&pp=gAQBiAQB
18,"You're Not Lazy: How to Live a Chaotically Organised Life",https://youtube.com/watch?v=A2sS00egAzg&list=WL&index=18&pp=gAQBiAQB
19,"5 AMAZING Palestinian Breakfast Dishes",https://youtube.com/watch?v=oONkKLgh5ZY&list=WL&index=19&pp=gAQBiAQB
20,"Being an Artist",https://youtube.com/watch?v=rNy0BXC8aC0&list=WL&index=20&t=1254s&pp=gAQBiAQB
21,"How to Paint Cars for Streetscape Paintings? ~ Paint with me (watch & learn)",https://youtube.com/watch?v=iGvIf0j8-S4&list=WL&index=21&t=860s&pp=gAQBiAQB
22,"YouTube",https://youtube.com/watch?v=CJIXbibQ0jI&list=WL&index=22&t=4720s&pp=gAQBiAQB
23,"Text Animators for Beginners - After Effects Type Tutorial",https://youtube.com/watch?v=IJ3QHNQSJg8&list=WL&index=23&t=13s&pp=gAQBiAQB
